"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
364,http://bbs.cehome.com/thread-1149860-1-1.html,我与工程机械,装载机,晋工737kn 准备入手,国三电喷的  大伙说说这款车怎么样,18206603520,2017-11-27,生活杂谈,晋 工 737kn  准备 入手 国三 电喷 的    大伙 说说 这款 车 怎么样
365,http://bbs.cehome.com/thread-1149857-1-1.html,挖掘机专区,我爱我挖,铁友吗求助,南平顺昌黄牌车撞车逃逸求助个大甲友车牌看不清,文艺小青年。,2017-11-27,,铁 友 吗 求助 南平 顺昌 黄牌 车 撞车 逃逸 求助 个 大甲 友 车牌 看不清
366,http://bbs.cehome.com/thread-1149855-1-1.html,挖掘机专区,我爱我挖,工作,这个人行洞正好能钻下挖机,河南挖友张杰,2017-11-27,,工作 这个 人行 洞 正好能 钻 下 挖机
367,http://bbs.cehome.com/thread-1149854-1-1.html,挖掘机专区,我爱我挖,卡特320b挖掘机油门马达线怎样接？,插座不对，线怎样接？几号线电原？,手机用户klpqw04,2017-11-27,,卡特 320b 挖掘机 油门 马达 线 怎样 接 ？ 插座 不对 ， 线 怎样 接 ？ 几号 线 电 原 ？
368,http://bbs.cehome.com/thread-1149852-1-1.html,我与工程机械,装载机,我们的房子就这样走了,刚才冲玻璃了，有水不太清楚就这样子了,曾以为,2017-11-27,,我们 的 房子 就这样 走了 刚才 冲 玻璃 了 ， 有水 不太 清楚 就 这 样子 了
369,http://bbs.cehome.com/thread-1149850-1-1.html,挖掘机专区,我爱我挖,昨天，还好着呢，今天，早上干了一个小时的活，就成这样 ...,,阿凌也辉,2017-11-27,,昨天 ， 还好 着呢 ， 今天 ， 早上 干了 一个 小时 的 活 ， 就 成 这样  ... 
370,http://bbs.cehome.com/thread-1149847-1-1.html,挖掘机专区,我爱我挖,这个液压油滤咋卸不动呀,,手机用户aeno489,2017-11-27,,这个 液压油 滤 咋 卸 不动 呀 
371,http://bbs.cehome.com/thread-1149845-1-1.html,挖掘机专区,我爱我挖,三一SY205挖机开辟新功能，挖机改旋挖钻机，开上旋挖钻机 ...,三一（SY205）挖掘机工作有一定年限了，但机器性能还是杠杠的，目前工作量不大，最最主要的是赚钱效率变低了，为了发挥本机的最大效益，决定变性旋挖钻机。找专业厂家定制旋挖模块，这个过程就省略了，下面看看改装过程。三一SY205挖机外观情况，整天风吹日晒挖机的，出了不少力。现在要变身，先把大小臂下了，有点怪怪的感觉。挖机的铭牌，大家根据出厂编号猜猜哪年的。定制的旋挖钻机模块铭牌，上面有详细的参数，能够完美的与挖机结合，合体变身很期待没有合适的吊车，边上旋挖钻机也来帮忙，按上旋挖钻机定制的大臂。厂家专业工程师指导安装，干活就是快，一下就变成这个样子了。安装中，钢丝绳等一些经常要保养的部件，还是很人性化的。整体差不多了，还带辅助卷扬，大家看到了没。立起来看看，还是很威武的，一个机身两种颜色，搭配也不错。以后就是旋挖钻机了，这个机手的工资也要跟着上涨了。,tysim,2017-11-27,维修改装,三一 SY205 挖机 开辟 新功能 ， 挖机 改 旋 挖 钻机 ， 开 上旋 挖 钻机  ... 三一 （ SY205 ） 挖掘机 工作 有 一定 年限 了 ， 但 机器 性能 还是 杠杠 的 ， 目前 工作量 不大 ， 最 最主要 的 是 赚钱 效率 变 低了 ， 为了 发挥 本机 的 最大 效益 ， 决定 变性 旋 挖 钻机 。 找 专业 厂家 定制 旋 挖 模块 ， 这个 过程 就 省略 了 ， 下面 看看 改装 过程 。 三一 SY205 挖机 外观 情况 ， 整天 风吹日晒 挖机 的 ， 出了 不少 力 。 现 在要 变身 ， 先把 大 小臂 下了 ， 有点 怪怪 的 感觉 。 挖机 的 铭牌 ， 大家 根据 出厂 编号 猜猜 哪 年 的 。 定制 的 旋 挖 钻机 模块 铭牌 ， 上 面有 详细 的 参数 ， 能够 完 美的 与 挖机 结合 ， 合体 变身 很 期待 没有 合适 的 吊车 ， 边 上旋 挖 钻机 也 来 帮忙 ， 按 上旋 挖 钻机 定制 的 大 臂 。 厂家 专业 工程师 指导 安装 ， 干活 就是 快 ， 一下 就 变成 这个 样子 了 。 安装 中 ， 钢丝绳 等 一些 经常 要 保养 的 部件 ， 还是 很 人性化 的 。 整体 差 不 多了 ， 还带 辅助 卷扬 ， 大家 看到了 没 。 立起来 看看 ， 还是 很 威武 的 ， 一个 机身 两 种颜色 ， 搭配 也 不错 。 以后 就是 旋 挖 钻机 了 ， 这个 机手 的 工资 也要 跟 着上 涨了 。
372,http://bbs.cehome.com/thread-1149843-1-1.html,挖掘机专区,我爱我挖,刷坡。,天天刷，累死了,弹指一挥间,2017-11-27,,刷 坡 。 天天 刷 ， 累 死了
373,http://bbs.cehome.com/thread-1149841-1-1.html,我与工程机械,故障咨询,小松PC210-8一股一股冒蓝烟，怎么回事？,小松210-8冒蓝烟  是一股一股的冒蓝烟  尤其半油门做动作最明显是怎么回事。大油门小油门都是一股一股的冒。怎么解决机油也不少,13303899678,2017-11-27,冒蓝烟,小松 PC210-8 一股 一股 冒 蓝 烟 ， 怎么回事 ？ 小松 210-8 冒 蓝 烟    是 一股 一股 的 冒 蓝 烟    尤其 半 油门 做 动作 最 明显 是 怎么回事 。 大 油门 小 油门 都是 一股 一股 的 冒 。 怎么 解决 机油 也 不少
374,http://bbs.cehome.com/thread-1149838-1-1.html,挖掘机专区,我爱我挖,涨紧油缸,我的涨紧油缸的轴都锈坏了坑坑洼洼的表面的镀层锈掉了，换油封没用了咋办,手机用户cgjkrz1,2017-11-27,,涨 紧 油缸 我 的 涨 紧 油缸 的 轴 都 锈 坏了 坑坑洼洼 的 表 面的 镀层 锈 掉了 ， 换 油封 没 用了 咋办
375,http://bbs.cehome.com/thread-1149832-1-1.html,挖掘机专区,我爱我挖,这台小松，跟了我八年了,大家帮忙看看，能值多少钱,13630385588,2017-11-27,使用报告,这台 小松 ， 跟了 我 八年 了 大家 帮忙 看看 ， 能 值 多少钱
376,http://bbs.cehome.com/thread-1149825-1-1.html,挖掘机专区,我爱我挖,兄弟们，看这挖机怎么样,自装自卸型,野趣盎然,2017-11-27,,兄弟们 ， 看这 挖机 怎么样 自 装 自 卸 型
377,http://bbs.cehome.com/thread-1149821-1-1.html,挖掘机专区,我爱我挖,求师傅,有没有师傅想带徒弟的，18岁河南周口小伙,学徒 虚心求教,2017-11-27,,求 师傅 有没有 师傅 想 带徒弟 的 ， 18 岁 河南 周口 小伙
378,http://bbs.cehome.com/thread-1149820-1-1.html,挖掘机专区,我爱我挖,三轮车,麻木车厉害啊,巨人城也,2017-11-27,,三轮车 麻木 车 厉害 啊
379,http://bbs.cehome.com/thread-1149818-1-1.html,挖掘机专区,我爱我挖,2017图集：这一年的点点滴滴,这一年的点点滴滴……,曾经英雄,2017-11-27,使用报告,2017 图集 ： 这 一年 的 点点滴滴 这 一年 的 点点滴滴 … …
380,http://bbs.cehome.com/thread-1149817-1-1.html,挖掘机专区,我爱我挖,卡特320起动要多少电压才能起动,24.5能起动不,18983219856,2017-11-27,,卡特 320 起动 要 多少 电压 才能 起动 24.5 能 起动 不
381,http://bbs.cehome.com/thread-1149815-1-1.html,挖掘机专区,我爱我挖,雪飘飘,好想下去玩玩,J21672026,2017-11-27,,雪 飘飘 好 想下去 玩玩
382,http://bbs.cehome.com/thread-1149812-1-1.html,我与工程机械,矿山设备,神器移动碎石机,这东西真是神器,行走的破碎机,2017-11-27,,神器 移动 碎石机 这 东西 真是 神器
383,http://bbs.cehome.com/thread-1149810-1-1.html,挖掘机专区,我爱我挖,求助,各位老铁有没有开龙工150挖机的,皖K小钢炮,2017-11-27,,求助 各位 老 铁 有没有 开 龙 工 150 挖机 的
384,http://bbs.cehome.com/thread-1149808-1-1.html,挖掘机专区,我爱我挖,厉害了我的卡特，小卡特上板车,厉害了我的卡特,挖机孙行者,2017-11-27,操作技巧,厉 害了 我 的 卡特 ， 小 卡特 上 板车 厉 害了 我 的 卡特
385,http://bbs.cehome.com/thread-1149806-1-1.html,,,,,,,, 
386,http://bbs.cehome.com/thread-1149805-1-1.html,铁甲娱乐,轻松一刻,签到,,手机用户bmnvw79,2017-11-27,,签到 
387,http://bbs.cehome.com/thread-1149801-1-1.html,挖掘机专区,我爱我挖,铁甲里的老师教导我们,感谢老铁,宁洱红领巾,2017-11-27,,铁甲 里 的 老师 教导 我们 感谢 老 铁
388,http://bbs.cehome.com/thread-1149800-1-1.html,挖掘机专区,我爱我挖,铁甲车标！,,挖斗成就一生,2017-11-27,,铁甲 车标 ！ 
389,http://bbs.cehome.com/thread-1149799-1-1.html,挖掘机专区,我爱我挖,购买二手机没有发票靠谱不,各位甲友，本人想购买一台二手徐工135D型机，朋友介绍的车源，一手车。但我们问老板手续齐全不，老板说只有合格证，发票还在公司，有打款依据。这种车靠谱不？有合格证能在公司查到有没发票不？又该怎样去查啊,微信用户_BBfKyj,2017-11-27,,购买 二 手机 没有 发票 靠 谱 不 各位 甲 友 ， 本人 想 购买 一台 二手 徐 工 135D 型 机 ， 朋友 介绍 的 车 源 ， 一 手车 。 但 我们 问 老板 手续 齐 全不 ， 老板 说 只有 合格证 ， 发票 还在 公司 ， 有 打 款 依据 。 这种 车 靠 谱 不 ？ 有 合格证 能在 公司 查到 有 没 发票 不 ？ 又该 怎样 去 查 啊
390,http://bbs.cehome.com/thread-1149794-1-1.html,挖掘机专区,我爱我挖,感觉会下雨了,,搞挖机累,2017-11-27,,感觉 会 下雨 了 
391,http://bbs.cehome.com/thread-1149793-1-1.html,我与工程机械,故障咨询,增压器的进气管可以改装吗？,日立车的空滤后的进气管，和增压器连接处有些破损，这个用什么方法可以修复？求各位甲友给支高招。,曾经英雄,2017-11-27,,增压器 的 进 气管 可以 改装 吗 ？ 日立 车 的 空滤 后 的 进 气管 ， 和 增压器 连接 处 有些 破损 ， 这个 用 什么 方法 可以 修复 ？ 求 各位 甲 友 给 支 高招 。
392,http://bbs.cehome.com/thread-1149792-1-1.html,我与工程机械,故障咨询,沃尔沃怠速不干活压力很高,朋友们帮我一下，我挖机是沃尔沃210B的  液压泵前泵怠速不干活压力很高已经340了，求高手到底解答。！！,15997313273,2017-11-27,其他液压泵/阀问题,沃尔沃 怠 速 不 干活 压力 很高 朋友们 帮我 一下 ， 我 挖机 是 沃尔沃 210B 的    液压泵 前 泵 怠 速 不 干活 压力 很高 已经 340 了 ， 求 高手 到底 解答 。 ！ ！
393,http://bbs.cehome.com/thread-1149790-1-1.html,挖掘机专区,我爱我挖,舒服,刚来说除草的，等到八点时又来一台小机机，他除草，我打桩。都是一千元一天。我打完12条桩就撤,徐工60D,2017-11-27,,舒服 刚 来说 除草 的 ， 等到 八点 时 又来 一台 小 机 机 ， 他 除草 ， 我 打桩 。 都是 一 千元 一天 。 我 打完 12 条 桩 就 撤
394,http://bbs.cehome.com/thread-1149789-1-1.html,挖掘机专区,我爱我挖,取管丝,细功夫,皖K小钢炮,2017-11-27,,取 管 丝 细 功夫
395,http://bbs.cehome.com/thread-1149788-1-1.html,挖掘机专区,我爱我挖,每天都重复一件事,这个月我的小挖要过三百小时了，挺高兴的。,15936600342,2017-11-27,,每天 都 重复 一件事 这 个月 我 的 小挖 要 过 三 百 小时 了 ， 挺 高兴 的 。
396,http://bbs.cehome.com/thread-1149786-1-1.html,挖掘机专区,我爱我挖,大神往这看，凯斯挖机，二臂挖斗动作慢，怎么回事,，,……！！！,2017-11-27,,大 神往 这 看 ， 凯 斯 挖机 ， 二 臂 挖 斗 动作 慢 ， 怎么回事 ，
397,http://bbs.cehome.com/thread-1149782-1-1.html,挖掘机专区,杂谈图库,今年二手机涨价这么多是有人跟风买挖机还是真有事做？,今年二手机涨价这么多是有人跟风买挖机还是真事做？反正我的在晒铁,18670545515,2017-11-27,生活杂谈,今年 二 手机 涨价 这么 多是 有人 跟风 买 挖机 还是 真 有事 做 ？ 今年 二 手机 涨价 这么 多是 有人 跟风 买 挖机 还是 真事 做 ？ 反正 我 的 在 晒 铁
398,http://bbs.cehome.com/thread-1149778-1-1.html,挖掘机专区,我爱我挖,铁甲人生,生活就是这样的，挖湖捉泥鸟喔！,红颜知己,2017-11-27,,铁甲 人生 生活 就是 这样 的 ， 挖 湖 捉 泥 鸟 喔 ！
399,http://bbs.cehome.com/thread-1149775-1-1.html,我与工程机械,故障咨询,CAT365故障,工作环境在青海祁连高原，挖机几乎每天晚上没动作，着车没问题，熄火打车也没问题，基本上到早上就恢复正常，时间不固定，查不出问题，求解？谢谢。,手机用户mtuw248,2017-11-27,其他,CAT365 故障 工作环境 在 青海 祁连 高原 ， 挖机 几乎 每天晚上 没 动作 ， 着 车 没问题 ， 熄火 打车 也 没问题 ， 基本 上到 早上 就 恢复 正常 ， 时间 不 固定 ， 查 不 出问题 ， 求解 ？ 谢谢 。
400,http://bbs.cehome.com/thread-1149773-1-1.html,挖掘机专区,我爱我挖,666,,手机用户bikrw56,2017-11-27,,666 
401,http://bbs.cehome.com/thread-1149771-1-1.html,挖掘机专区,我爱我挖,神钢–6显示屏坏了自己能修吗？,,秃驴,2017-11-27,,神钢 – 6 显示屏 坏了 自己 能 修 吗 ？ 
402,http://bbs.cehome.com/thread-1149769-1-1.html,挖掘机专区,我爱我挖,工地完工，洗吧好下一个工地。,工地完工了，把工具全都洗一下挖机，全都洗一遍洗好了可以继续下一个工地忙,18888630225,2017-11-27,,工地 完工 ， 洗 吧 好 下一个 工地 。 工地 完工 了 ， 把 工具 全都 洗 一下 挖机 ， 全都 洗 一遍 洗 好了 可以 继续 下一个 工地 忙
403,http://bbs.cehome.com/thread-1149768-1-1.html,挖掘机专区,我爱我挖,加油,油价不停往上涨，工价一直加不起，唉，，，,濂嬫枟鐨勪汉鐢,2017-11-27,,加油 油价 不停 往 上涨 ， 工价 一直 加 不 起 ， 唉 ， ， ，
404,http://bbs.cehome.com/thread-1149767-1-1.html,我与工程机械,推土机,【一起来 就现在】,干吧！,璀璨夜空,2017-11-27,,【 一 起来   就 现在 】 干吧 ！
405,http://bbs.cehome.com/thread-1149765-1-1.html,挖掘机专区,我爱我挖,终于出太阳了,,看毛卑鄙,2017-11-27,,终于 出 太阳 了 
406,http://bbs.cehome.com/thread-1149763-1-1.html,我与工程机械,故障咨询,小松机120～6大机头所有动作掉臂很严重要,而且液压油温高求大神指点,13622420883,2017-11-27,其他液压泵/阀问题,小松 机 120 ～ 6 大 机头 所有 动作 掉 臂 很严 重要 而且 液压 油温 高 求 大神 指点
407,http://bbs.cehome.com/thread-1149761-1-1.html,挖掘机专区,我爱我挖,我刚15岁开挖机开两年啦，一年没回家啦，终于可以回家啦 ...,马上都放假啦，终于可以回家啦开心天气正好也冷,手机用户ahiqrw0,2017-11-27,,我 刚 15 岁 开 挖机 开 两年 啦 ， 一年 没 回家 啦 ， 终于 可以 回家 啦  ... 马上 都 放假 啦 ， 终于 可以 回家 啦 开心 天气 正好 也 冷
408,http://bbs.cehome.com/thread-1149758-1-1.html,挖掘机专区,我爱我挖,没中过比这个大点的,,挖机准备卖，帮别人开去,2017-11-27,,没中 过 比 这个 大点 的 
409,http://bbs.cehome.com/thread-1149756-1-1.html,铁甲娱乐,轻松一刻,小贷公司收钱部门普法会,,手机用户pruvwy7,2017-11-27,,小 贷 公司 收钱 部门 普 法会 
410,http://bbs.cehome.com/thread-1149754-1-1.html,挖掘机专区,我爱我挖,三一115安快换,想给我三一115上装个快换，甲友么说说安机械的好还是友液压的好了？还有就是山西这边有没有卖快换的留下电话哈！,强强李,2017-11-27,,三一 115 安 快 换 想 给我 三一 115 上装 个 快 换 ， 甲 友 么 说说 安 机械 的 好 还是 友 液压 的 好了 ？ 还有 就是 山西 这边 有没有 卖 快 换 的 留下 电话 哈 ！
411,http://bbs.cehome.com/thread-1149751-1-1.html,挖掘机专区,我爱我挖,到了！,谢谢铁甲小白,李李俊,2017-11-27,,到了 ！ 谢谢 铁甲 小白
412,http://bbs.cehome.com/thread-1149747-1-1.html,互通有无,配件广告专区,60-7,现代60-7找拆拆件履带，有的介绍一下谢谢13795598593,13795598593,2017-11-27,其他,60-7 现代 60-7 找 拆 拆 件 履带 ， 有的 介绍 一下 谢谢 13795598593
413,http://bbs.cehome.com/thread-1149746-1-1.html,挖掘机专区,我爱我挖,我去,怎么弄的,想干不想干不得不干,2017-11-27,,我 去 怎么弄 的
414,http://bbs.cehome.com/thread-1149740-1-1.html,挖掘机专区,我爱我挖,奋斗路上,我是80后,我的未来不是梦！,2017-11-27,,奋斗 路上 我 是 80 后
415,http://bbs.cehome.com/thread-1149739-1-1.html,互通有无,招聘求职,南昌新建区请小挖机司机农田改造，包吃住，工资优厚。,南昌新建区请小挖机司机农田改造，包吃住，工资优厚。新机好开，要求挖沟有经验，技术，电话—15979066615邱,手机用户bglps57,2017-11-27,江西,南昌 新建 区 请 小 挖机 司机 农田 改造 ， 包 吃住 ， 工资 优厚 。 南昌 新建 区 请 小 挖机 司机 农田 改造 ， 包 吃住 ， 工资 优厚 。 新机 好 开 ， 要求 挖沟 有 经验 ， 技术 ， 电话 — 15979066615 邱
416,http://bbs.cehome.com/thread-1149738-1-1.html,挖掘机专区,我爱我挖,进度很慢,一头雾水,丢失,2017-11-27,,进度 很慢 一头雾水
417,http://bbs.cehome.com/thread-1149735-1-1.html,挖掘机专区,我爱我挖,上班路上走起,,铁甲封总,2017-11-27,,上班 路上 走起 
418,http://bbs.cehome.com/thread-1149733-1-1.html,挖掘机专区,我爱我挖,上班了,,伟立机械,2017-11-27,,上班 了 
419,http://bbs.cehome.com/thread-1149731-1-1.html,我与工程机械,故障咨询,住友210-5,住友210-5总是报警，故障码0087《无泵送压力》，是怎么回事，油箱也洗了，柴滤也换了，干着干着就会报，一报警就憋车,手机用户dejnru6,2017-11-27,其他,住友 210-5 住友 210-5 总是 报警 ， 故障 码 0087 《 无 泵 送 压力 》 ， 是 怎么回事 ， 油箱 也 洗了 ， 柴 滤 也 换了 ， 干 着 干 着 就 会报 ， 一 报警 就 憋 车
420,http://bbs.cehome.com/thread-1149729-1-1.html,挖掘机专区,我爱我挖,太慢了,挖机上煤真吃力,山推成就未来,2017-11-27,,太 慢了 挖 机上 煤 真 吃力
421,http://bbs.cehome.com/thread-1149727-1-1.html,挖掘机专区,我爱我挖,现代225挖机这是什么情况,打不了火,手机用户gknsz57,2017-11-27,,现代 225 挖机 这是 什么情况 打 不了 火
422,http://bbs.cehome.com/thread-1149725-1-1.html,挖掘机专区,我爱我挖,一起来 就现在。谁来一起打地鼠,一起来打地鼠,雷影,2017-11-27,,一 起来   就 现在 。 谁来 一起 打 地鼠 一 起来 打 地鼠
423,http://bbs.cehome.com/thread-1149723-1-1.html,挖掘机专区,我爱我挖,斗山DH220-7挖机油箱多少容量?,显示屏上显示刚好两格跳一格。然而今早上竟然加了290升。到底是加油车有问题还是冬天油箱变胖了各位小弟在线甲友求解,尾号8886,2017-11-27,,斗山 DH220-7 挖 机油箱 多少 容量 ? 显示屏 上 显示 刚好 两格 跳 一格 。 然 而今 早上 竟然 加了 290 升 。 到底是 加油车 有 问题 还是 冬天 油箱 变 胖了 各位 小弟 在线 甲 友 求解
424,http://bbs.cehome.com/thread-1149716-1-1.html,挖掘机专区,我爱我挖,车贴到了,昨天铁甲帮我发了车贴了，本来没什么想要，因为没什么作用，但还是要感谢铁甲有意。,18897969899,2017-11-27,,车 贴 到了 昨天 铁甲 帮我 发了 车 贴了 ， 本来 没什么 想要 ， 因为 没什么 作用 ， 但 还是 要 感谢 铁甲 有意 。
425,http://bbs.cehome.com/thread-1149715-1-1.html,挖掘机专区,我爱我挖,搞了这么几年了，我发现我是二把刀,,不搞挖机了,2017-11-27,,搞了 这么 几年 了 ， 我 发现 我 是 二把刀 
426,http://bbs.cehome.com/thread-1149711-1-1.html,铁甲娱乐,轻松一刻,开始吧,斗图,北海路 比伯,2017-11-27,,开始 吧 斗 图
427,http://bbs.cehome.com/thread-1149707-1-1.html,我与工程机械,故障咨询,斗山挖机打开四维时候滴滴声不正常,我的是斗山55DX-9c，每次打开四维都会滴滴三声，最近老是滴滴两声或者一声，有时滴滴三声。有半个月了，请问这个有问题吗？,13856098697,2017-11-27,显示器报警,斗山 挖机 打开 四维 时候 滴滴 声 不正常 我 的 是 斗山 55DX-9c ， 每次 打开 四维 都会 滴滴 三 声 ， 最近 老是 滴滴 两声 或者 一声 ， 有时 滴滴 三 声 。 有 半个 月了 ， 请问 这个 有 问题 吗 ？
428,http://bbs.cehome.com/thread-1149706-1-1.html,挖掘机专区,我爱我挖,千年难遇,这是寓意着什么呢？,蚂蚁、小挖,2017-11-27,,千年 难遇 这是 寓意 着 什么 呢 ？
429,http://bbs.cehome.com/thread-1149704-1-1.html,挖掘机专区,我爱我挖,哈哈车贴到了,,13931931251,2017-11-27,,哈哈 车 贴 到了 
430,http://bbs.cehome.com/thread-1149701-1-1.html,我与工程机械,装载机,为什么龙哥不给咋们配一个柴油表呢？,来，老铁们，聊聊你们如何看自己都油量？,18566009820,2017-11-27,使用报告,为什么 龙 哥 不给 咋 们 配 一个 柴油 表 呢 ？ 来 ， 老 铁 们 ， 聊聊 你们 如何 看 自己 都 油量 ？
431,http://bbs.cehome.com/thread-1149699-1-1.html,挖掘机专区,我爱我挖,早,,笑出强大y,2017-11-27,,早 
432,http://bbs.cehome.com/thread-1149698-1-1.html,挖掘机专区,我爱我挖,早上好,唉！又是大太阳。。求雨！！！,手机用户dfhntu0,2017-11-27,,早上好 唉 ！ 又是 大 太阳 。 。 求雨 ！ ！ ！
433,http://bbs.cehome.com/thread-1149694-1-1.html,挖掘机专区,我爱我挖,久违的太阳,我都忘了有多久没见到你了,余生没着落,2017-11-27,,久违 的 太阳 我 都 忘了 有 多久 没见 到你 了
434,http://bbs.cehome.com/thread-1149693-1-1.html,挖掘机专区,我爱我挖,黑白双煞,,强哥！,2017-11-27,,黑白 双 煞 
435,http://bbs.cehome.com/thread-1149685-1-1.html,挖掘机专区,我爱我挖,昨晚家里来了个不速之客,马蜂，两只手都被蛰了今早起来两只手又痒又痛又肿,15016390955,2017-11-27,,昨晚 家里 来了 个 不速之客 马蜂 ， 两只手 都被 蛰 了 今 早 起来 两只手 又 痒 又 痛 又 肿
436,http://bbs.cehome.com/thread-1149681-1-1.html,挖掘机专区,我爱我挖,无尽空虚，上点煤矿的图分享给大家,,海阔天空任我飞,2017-11-27,,无尽 空虚 ， 上点 煤矿 的 图 分享 给 大家 
437,http://bbs.cehome.com/thread-1149677-1-1.html,挖掘机专区,我爱我挖,又换工地,,大小松细洋马,2017-11-27,,又 换 工地 
438,http://bbs.cehome.com/thread-1149674-1-1.html,挖掘机专区,我爱我挖,看图猜机！顺带领币！,你猜，你猜。说出它的型号吧。,没事就挖挖,2017-11-27,,看图 猜 机 ！ 顺 带领 币 ！ 你 猜 ， 你 猜 。 说 出 它 的 型号 吧 。
439,http://bbs.cehome.com/thread-1149671-1-1.html,挖掘机专区,我爱我挖,我爱我挖,老铁们，你的气温都几度了,残城ω碎梦,2017-11-27,,我 爱我 挖 老 铁 们 ， 你 的 气温 都 几 度了
440,http://bbs.cehome.com/thread-1149668-1-1.html,挖掘机专区,我爱我挖,早上好,,阳光你早,2017-11-27,,早上好 
441,http://bbs.cehome.com/thread-1149664-1-1.html,挖掘机专区,我爱我挖,除草,环境优美,徐工60D,2017-11-27,,除草 环境优美
442,http://bbs.cehome.com/thread-1149662-1-1.html,挖掘机专区,我爱我挖,无知修理工,昨天出发来上海帮兄弟掏台挖机，自己的200-6液压泵的盲肠管爆了，我兄弟不懂，拆出去压，结果不知道是图省事还是不懂，居然跟我兄弟说这根管没用，直接割掉焊死，我就郁闷死了，甲友们说说不知道会不会有什么大的影响,路见不平修一斗,2017-11-27,,无知 修理工 昨天 出 发来 上海 帮 兄弟 掏 台 挖机 ， 自己 的 200-6 液压泵 的 盲 肠管 爆 了 ， 我 兄弟 不懂 ， 拆出去 压 ， 结果 不知道 是 图 省事 还是 不懂 ， 居然 跟我 兄弟 说 这根 管 没用 ， 直接 割掉 焊 死 ， 我 就 郁闷 死了 ， 甲 友 们 说说 不知道 会 不会有 什么 大 的 影响
443,http://bbs.cehome.com/thread-1149660-1-1.html,挖掘机专区,我爱我挖,我们不一样,我们开挖掘机的最怕拆装液压管，又脏又累！在驾驶室里拆操作杆油管,15016390955,2017-11-27,,我们 不一样 我们 开 挖掘机 的 最怕 拆装 液压 管 ， 又 脏 又 累 ！ 在 驾驶 室里 拆 操作 杆 油管
444,http://bbs.cehome.com/thread-1149655-1-1.html,我与工程机械,故障咨询,三一215c一8s咨询一下问题 心里有个底2012年的车,我得三一215开的时候冒黑烟  然后干活干一两个小时以后车就老是憋车这是为什么啊？,文人墨客,2017-11-27,冒黑烟,三一 215c 一 8s 咨询 一下 问题   心里 有 个 底 2012 年 的 车 我 得 三一 215 开 的 时候 冒 黑烟    然后 干活 干 一 两个 小时 以 后车 就 老是 憋 车 这是 为什么 啊 ？
445,http://bbs.cehome.com/thread-1149654-1-1.html,铁甲娱乐,轻松一刻,铁甲币,,挖机刘老二,2017-11-27,,铁甲 币 
446,http://bbs.cehome.com/thread-1149651-1-1.html,挖掘机专区,我爱我挖,早餐,,秦小挖,2017-11-27,,早餐 
447,http://bbs.cehome.com/thread-1149648-1-1.html,挖掘机专区,我爱我挖,各位老板，大师,加腾报警了，这个是什么问题？,广东挖手,2017-11-27,,各位 老板 ， 大师 加 腾 报警 了 ， 这个 是 什么问题 ？
448,http://bbs.cehome.com/thread-1149647-1-1.html,挖掘机专区,我爱我挖,昨晚加班到1点半,不想起呀,小小挖掘哥,2017-11-27,,昨晚 加班 到 1 点 半 不 想起 呀
449,http://bbs.cehome.com/thread-1149645-1-1.html,互通有无,配件广告专区,有做铲车二手配件的吗,想找一个柳工855后传动轴的伸缩叉，谁有的,528528,2017-11-27,其他,有 做 铲车 二手 配件 的 吗 想找 一个 柳 工 855 后 传动轴 的 伸缩 叉 ， 谁 有的
450,http://bbs.cehome.com/thread-1149644-1-1.html,挖掘机专区,我爱我挖,大家好,最近活多吗都,征服者2016,2017-11-27,,大家好 最近 活 多 吗 都
451,http://bbs.cehome.com/thread-1149640-1-1.html,挖掘机专区,我爱我挖,北京周边都放假了吗,说说放假都干什么去了？找点事干,甲友 005,2017-11-27,,北京 周边 都 放假 了吗 说说 放假 都 干什么 去了 ？ 找点事干
452,http://bbs.cehome.com/thread-1149638-1-1.html,挖掘机专区,我爱我挖,不要羡慕，这样的操作早晚会出事的，注意安全谨慎驾驶,,13504278610,2017-11-27,,不要 羡慕 ， 这样 的 操作 早 晚会 出事 的 ， 注意安全 谨慎 驾驶 
453,http://bbs.cehome.com/thread-1149633-1-1.html,挖掘机专区,我爱我挖,车贴到了,感谢铁甲小白！,铁甲勇哥,2017-11-27,,车 贴 到了 感谢 铁甲 小白 ！
454,http://bbs.cehome.com/thread-1149632-1-1.html,挖掘机专区,我爱我挖,三年干的活,,手机用户desu358,2017-11-27,,三年 干 的 活 
455,http://bbs.cehome.com/thread-1149630-1-1.html,挖掘机专区,我爱我挖,黑科技,,问一问天多高,2017-11-27,,黑 科技 
456,http://bbs.cehome.com/thread-1149629-1-1.html,挖掘机专区,我爱我挖,【一起来 就现在】做事咯,铁甲币太难得,黄忠,2017-11-27,,【 一 起来   就 现在 】 做事 咯 铁甲 币 太 难得
457,http://bbs.cehome.com/thread-1149622-1-1.html,挖掘机专区,我爱我挖,开始搬砖,老房重建,13083651751,2017-11-27,,开始 搬 砖 老 房 重建
458,http://bbs.cehome.com/thread-1149621-1-1.html,挖掘机专区,我爱我挖,【一起来就现在】还是农村好,没有套路,我爱把把,2017-11-27,,【 一起 来就 现在 】 还是 农村 好 没有 套路
